word,count
the,125971793511
of,77466218166
and,55607010885
to,46622823631
in,40069476427
a,35132488627
is,19364876716
that,18667136173
for,18525071087
as,12871208057
by,12332619973
be,12294483149
it,11994960844
with,11876159369
on,11798904606
was,11265433494
or,10460165418
not,10388733666
this,9343733263
are,9012560640
i,8529705082
from,8398028679
at,8347148643
he,7414984637
which,6837362033
an,6616825208
have,6472055759
his,6321370580
but,5274289184
you,5136403520
we,4806946069
all,4721453560
were,4711163000
they,4674959004
one,4615625075
had,4467177865
has,4295647094
will,4131695626
their,4058311467
been,3833419756
other,3621031643
if,3558853549
can,3504680360
may,3494071401
there,3441017212
would,3426403207
no,3299635540
more,3266223769
new,3191765291
such,3173369270
its,3160953963
when,3127527437
any,2977738774
these,2957571963
who,2920499269
so,2915805543
her,2876060797
time,2844214982
than,2821118720
do,2573486964
she,2473849613
some,2431463367
what,2387322337
about,2356310055
state,2349552959
only,2346575330
two,2320487269
into,2295957672
also,2277394724
out,2247860777
them,2239759421
our,2184379901
said,2144475432
under,2138741097
first,2110041394
my,2087148273
him,2055993437
up,2027284788
see,1998720597
made,1997447686
should,1952830829
after,1839664795
shall,1783938547
your,1726233522
most,1713230188
could,1709690152
then,1697158548
over,1673016988
each,1656109353
year,1638310751
work,1635348458
states,1615967473
where,1601555361
use,1586311480
years,1570846149
me,1567968527
between,1545114434
those,1532715465
same,1530696473
